Time (s)	Wind Speed (m/s)
0.0	10.0
0.1	10.006279051952932
0.2	10.01253332335643
0.30000000000000004	10.018738131458573
0.4	10.024868988716486
0.5	10.030901699437495
0.6000000000000001	10.036812455268468
0.7000000000000001	10.042577929156508
0.8	10.048175367410172
0.9	10.0535826794979
1.0	10.058778525229247
1.1	10.063742398974869
1.2000000000000002	10.068454710592869
1.3	10.072896862742141
1.4000000000000001	10.077051324277578
1.5	10.080901699437495
1.6	10.084432792550201
1.7000000000000002	10.087630668004387
1.8	10.090482705246602
1.9000000000000001	10.092977648588825
2.0	10.095105651629515
2.1	10.096858316112863
2.2	10.098228725072868
2.3000000000000003	10.099211470131447
2.4000000000000004	10.099802672842827
2.5	10.1
2.6	10.099802672842827
2.7	10.099211470131447
2.8000000000000003	10.098228725072868
2.9000000000000004	10.096858316112863
3.0	10.095105651629515
3.1	10.092977648588825
3.2	10.090482705246602
3.3000000000000003	10.087630668004387
3.4000000000000004	10.084432792550201
3.5	10.080901699437495
3.6	10.077051324277578
3.7	10.072896862742141
3.8000000000000003	10.068454710592869
3.9000000000000004	10.063742398974869
4.0	10.058778525229247
4.1000000000000005	10.0535826794979
4.2	10.048175367410172
4.3	10.042577929156508
4.4	10.036812455268468
4.5	10.030901699437495
4.6000000000000005	10.024868988716486
4.7	10.018738131458573
4.800000000000001	10.01253332335643
4.9	10.006279051952932
5.0	10.0
5.1000000000000005	9.993720948047068
5.2	9.98746667664357
5.300000000000001	9.981261868541427
5.4	9.975131011283514
5.5	9.969098300562505
5.6000000000000005	9.963187544731532
5.7	9.957422070843492
5.800000000000001	9.951824632589828
5.9	9.9464173205021
6.0	9.941221474770753
6.1000000000000005	9.936257601025131
6.2	9.931545289407131
6.300000000000001	9.927103137257859
6.4	9.922948675722422
6.5	9.919098300562505
6.6000000000000005	9.915567207449799
6.7	9.912369331995613
6.800000000000001	9.909517294753398
6.9	9.907022351411175
7.0	9.904894348370485
7.1000000000000005	9.903141683887137
7.2	9.901771274927132
7.300000000000001	9.900788529868553
7.4	9.900197327157173
7.5	9.9
7.6000000000000005	9.900197327157173
7.7	9.900788529868553
7.800000000000001	9.901771274927132
7.9	9.903141683887137
8.0	9.904894348370485
8.1	9.907022351411175
8.200000000000001	9.909517294753398
8.3	9.912369331995613
8.4	9.915567207449799
8.5	9.919098300562505
8.6	9.922948675722422
8.700000000000001	9.927103137257859
8.8	9.931545289407131
8.9	9.936257601025131
9.0	9.941221474770753
9.1	9.9464173205021
9.200000000000001	9.951824632589828
9.3	9.957422070843492
9.4	9.963187544731532
9.5	9.969098300562505
9.600000000000001	9.975131011283514
9.700000000000001	9.981261868541427
9.8	9.98746667664357
9.9	9.993720948047068
10.0	10.0
10.100000000000001	10.006279051952932
10.200000000000001	10.01253332335643
10.3	10.018738131458573
10.4	10.024868988716486
10.5	10.030901699437495
10.600000000000001	10.036812455268468
10.700000000000001	10.042577929156508
10.8	10.048175367410172
